feature("LIMIT.BAL"),SEX,EDUCATION,MARRIAGE,AGE,DEFAULT_PAYMENT_NEXT_MONTH
20000,female,university,married,24,1
120000,female,university,single,26,1
90000,female,university,single,34,0
50000,female,university,married,37,0
50000,male,university,married,57,0
50000,male,graduate,single,37,0
500000,male,graduate,single,29,0
100000,female,university,single,23,0
140000,female,highschool,married,28,0
20000,male,highschool,single,35,0
200000,female,highschool,single,34,0
260000,female,graduate,single,51,0
630000,female,university,single,41,0
70000,male,university,single,30,1
250000,male,graduate,single,29,0
50000,female,highschool,divorce,23,0
20000,male,graduate,single,24,1
320000,male,graduate,married,49,0
360000,female,graduate,married,49,0
180000,female,graduate,single,29,0
130000,female,highschool,single,39,0
120000,female,university,married,39,1
70000,female,university,single,26,1
450000,female,graduate,married,40,1
90000,male,graduate,single,23,0
50000,male,highschool,single,23,0
60000,male,graduate,single,27,1
50000,female,highschool,single,30,0
50000,female,highschool,married,47,0
50000,male,graduate,single,26,0
230000,female,graduate,single,27,0
50000,male,university,single,33,1
100000,male,graduate,single,32,0
500000,female,university,married,54,0
500000,male,graduate,married,58,0
160000,male,graduate,single,30,0
280000,male,university,married,40,0
60000,female,university,single,22,0
50000,male,graduate,single,25,1
280000,male,graduate,single,31,0
360000,male,graduate,single,33,0
70000,female,graduate,single,25,0
10000,male,university,single,22,0
140000,female,university,married,37,0
40000,female,graduate,single,30,0
210000,male,graduate,single,29,1
20000,female,graduate,single,22,1
150000,female,other,single,46,1
380000,male,university,single,32,0
20000,male,graduate,single,24,0
70000,male,highschool,single,42,1
100000,female,highschool,divorce,43,0
310000,female,university,married,49,0
180000,female,graduate,single,25,0
150000,female,graduate,single,29,0
500000,female,graduate,married,45,0
180000,female,highschool,married,34,0
180000,female,university,married,34,0
200000,female,graduate,single,34,0
400000,female,university,married,29,0
500000,female,highschool,married,28,1
70000,male,university,married,39,0
50000,male,graduate,single,29,1
50000,female,university,married,46,1
130000,female,university,married,51,0
200000,male,graduate,married,57,1
10000,male,university,married,56,1
210000,female,graduate,single,30,0
130000,female,highschool,single,29,0
20000,male,other,single,22,0
80000,male,graduate,single,31,0
320000,male,university,single,29,1
200000,female,university,married,32,0
290000,female,graduate,single,37,0
340000,male,graduate,single,32,0
20000,male,university,single,24,0
50000,male,highschool,single,25,0
300000,female,graduate,married,45,0
30000,female,university,single,22,1
240000,female,university,single,44,1
470000,female,highschool,divorce,33,0
360000,female,graduate,single,26,0
60000,male,highschool,single,30,1
400000,female,university,married,44,0
50000,female,highschool,single,49,0
160000,male,university,single,33,0
360000,female,graduate,married,45,1
160000,female,university,single,32,0
130000,female,graduate,married,35,0
20000,male,highschool,single,44,0
200000,male,graduate,married,53,1
280000,female,graduate,single,39,0
100000,female,graduate,single,27,0
160000,female,university,married,37,0
60000,female,university,single,23,0
90000,male,university,single,35,0
360000,male,graduate,married,43,0
150000,male,graduate,single,27,0
50000,female,highschool,married,22,0
20000,male,university,married,38,1
140000,male,graduate,single,32,0
380000,female,graduate,single,30,0
480000,male,graduate,married,63,0
50000,female,highschool,single,22,1
60000,female,university,single,26,0
70000,female,university,single,24,0
80000,female,university,married,36,0
350000,male,graduate,single,52,0
130000,male,university,single,38,0
360000,male,university,married,35,0
330000,female,graduate,married,31,0
50000,male,highschool,married,47,0
280000,male,university,married,41,0
100000,female,graduate,single,24,0
50000,male,university,single,41,0
30000,male,graduate,single,24,1
240000,male,graduate,single,28,0
80000,male,university,single,26,1
400000,male,university,married,34,0
240000,female,university,single,38,0
50000,male,highschool,single,37,1
450000,male,graduate,married,40,1
110000,female,graduate,married,48,0
310000,female,university,married,35,1
20000,male,graduate,single,27,0
20000,male,university,single,23,0
200000,male,highschool,single,52,0
180000,male,graduate,married,36,1
50000,male,university,married,51,1
60000,male,highschool,married,55,0
30000,female,graduate,single,23,0
240000,male,graduate,single,41,0
420000,male,university,married,34,0
330000,male,highschool,married,46,0
30000,female,university,single,22,0
240000,male,university,married,34,0
150000,male,graduate,single,27,0
210000,female,university,married,33,0
50000,female,highschool,married,51,1
50000,male,graduate,single,24,0
240000,male,graduate,single,47,1
180000,male,university,single,28,0
50000,male,university,single,23,0
170000,male,university,single,29,0
20000,male,graduate,single,29,0
50000,male,graduate,single,28,0
170000,female,university,single,27,1
200000,male,graduate,single,34,0
80000,female,university,married,23,0
260000,female,graduate,married,60,0
140000,male,university,married,32,0
80000,male,graduate,single,25,0
350000,male,graduate,single,41,0
280000,female,university,married,56,0
30000,female,highschool,single,26,0
140000,male,graduate,married,34,0
200000,female,graduate,single,37,0
200000,female,highschool,single,30,0
210000,male,highschool,married,45,1
50000,male,highschool,married,57,0
30000,male,graduate,single,41,0
50000,male,university,single,27,0
290000,male,highschool,married,47,0
250000,female,graduate,married,34,0
60000,female,university,married,46,0
110000,female,graduate,single,27,0
370000,male,graduate,single,50,0
100000,male,university,married,27,0
90000,female,university,married,35,0
50000,female,university,single,22,0
270000,male,university,single,37,0
300000,female,graduate,single,30,0
50000,female,university,single,22,0
50000,female,graduate,single,24,1
360000,male,graduate,single,29,0
130000,male,highschool,married,56,1
80000,male,graduate,single,30,0
50000,male,university,single,30,0
20000,female,university,single,22,0
80000,female,university,married,29,0
240000,male,graduate,single,37,0
80000,female,highschool,single,35,0
500000,female,graduate,married,47,0
60000,female,university,married,24,1
20000,male,university,single,25,0
100000,female,university,married,38,1
360000,female,graduate,single,32,0
200000,female,highschool,single,47,1
130000,female,university,married,34,0
20000,female,university,single,31,0
310000,male,graduate,single,32,0
60000,female,graduate,single,27,1
180000,female,graduate,single,29,0
180000,female,graduate,single,24,0
50000,male,university,married,36,0
50000,female,graduate,single,24,1
150000,female,university,married,34,0
20000,female,graduate,single,22,0
500000,female,graduate,married,34,0
30000,female,highschool,single,22,1
180000,female,graduate,married,38,0
140000,male,graduate,single,31,0
140000,female,graduate,single,26,0
120000,male,university,single,26,0
360000,female,university,married,48,0
20000,male,highschool,married,43,0
100000,male,graduate,married,47,0
210000,female,university,married,41,1
80000,female,university,single,24,1
330000,female,graduate,married,50,0
220000,male,graduate,single,24,0
210000,female,graduate,married,38,1
40000,female,highschool,married,43,0
30000,male,university,single,39,0
470000,male,university,single,27,0
30000,male,highschool,married,42,0
240000,female,university,married,36,1
80000,male,university,single,36,0
110000,female,highschool,other,31,0
310000,female,graduate,single,38,0
360000,female,graduate,married,40,1
330000,female,highschool,single,45,0
300000,female,university,single,35,0
320000,female,university,single,33,0
50000,female,highschool,single,37,1
170000,female,graduate,single,28,0
350000,male,highschool,married,44,0
20000,male,university,married,37,0
50000,male,university,single,23,1
20000,female,highschool,single,24,0
50000,female,graduate,single,24,0
20000,male,university,single,23,1
50000,male,university,married,26,0
190000,male,university,single,34,1
60000,female,university,married,33,0
80000,male,graduate,single,35,0
150000,female,university,single,27,0
210000,female,graduate,single,31,0
240000,female,highschool,married,50,1
140000,female,university,divorce,41,1
60000,female,graduate,single,28,0
50000,male,graduate,single,39,0
50000,female,university,single,27,0
180000,female,graduate,single,32,0
30000,female,graduate,single,40,0
20000,female,university,single,40,0
250000,female,university,married,75,0
100000,female,university,single,27,0
330000,male,graduate,single,25,0
50000,male,highschool,married,46,0
50000,female,university,single,26,0
30000,male,university,single,28,0
140000,female,university,single,26,1
160000,female,graduate,single,28,0
400000,female,university,single,29,0
50000,male,university,married,25,0
140000,female,university,married,48,0
160000,female,university,married,33,0
100000,female,highschool,married,43,0
220000,male,graduate,married,48,1
510000,female,graduate,single,29,0
50000,male,university,single,29,0
160000,female,graduate,married,38,0
230000,female,graduate,single,37,0
80000,female,graduate,single,37,0
150000,female,university,married,25,0
10000,male,highschool,single,23,0
130000,female,highschool,single,49,1
40000,female,graduate,single,48,0
50000,male,university,single,27,1
100000,male,highschool,single,32,0
120000,male,graduate,married,34,0
260000,female,graduate,single,58,1
200000,female,university,single,33,0
360000,female,university,single,28,1
70000,female,university,single,36,0
460000,male,graduate,married,40,1
50000,female,graduate,single,26,0
50000,male,highschool,married,33,0
250000,female,university,married,31,0
30000,female,graduate,single,27,0
270000,male,university,married,44,0
180000,female,highschool,single,30,0
100000,female,graduate,single,28,0
230000,female,highschool,married,32,0
210000,female,graduate,married,46,0
210000,male,graduate,single,38,0
440000,female,university,married,46,0
100000,female,university,single,25,1
240000,female,university,married,46,0
280000,male,graduate,single,33,1
50000,female,university,single,22,1
30000,male,university,married,43,0
10000,male,university,single,27,1
130000,male,graduate,single,29,0
200000,male,graduate,single,31,0
120000,female,university,married,29,0
210000,female,university,married,36,0
280000,female,graduate,married,36,0
300000,male,graduate,single,34,1
100000,male,university,single,37,0
440000,female,graduate,single,36,0
50000,female,highschool,married,40,0
20000,female,graduate,single,25,1
200000,female,graduate,single,27,0
110000,female,university,single,26,0
500000,female,university,married,36,0
300000,female,university,married,27,0
